_id,skill_tree_id,required_skill_tree_points,name,name_de,name_fr,name_es,name_it,name_ja,description,description_de,description_fr,description_es,description_it,description_ja
89,38,10,Heavy Polish,Schwere Politur,Affûtage,Pulido a fondo,Gran levigatura,,Use a whetstone to polish a weapon and briefly increase its strength.,"Nutzt einen Wetzstein, um eine Waffe zu polieren und die Kraft kurzzeitig zu steigern.",Affûte une arme à l'aide d'un aiguisoir et augmente temporairement sa force.,Usa una piedra de afilar para pulir un arma y aumentar brevemente su potencia.,Usa una cote per levigare un'arma e aumentarne brevemente la potenza.,
90,39,10,Bludgeoner,Knüppler,Matraquage,Cachiporra pesada,Contundente,,Increases Attack based on how low the Sharpness of your weapon is.,"Steigert den Angriff basierend darauf, wie niedrig die Schärfe der Waffe ist.",Améliore l'attaque en fonction de la perte de tranchant de votre arme.,Aumenta el ataque según lo desafilada que esté tu arma.,Aumenta l'attacco al ridursi dell'acutezza della tua arma.,
91,40,10,Critical Draw,Kritischer Hieb,Dégainage éclair,Desenf. especial,Critico rapido,,Increases Affinity for all draw attacks by 100%.,Erhöht die Affinität für alle Schnellangriffe um 100%.,L'affinité est augmentée de 100 % lorsque vous attaquez en dégainant.,Aumenta la afinidad con todos los ataques de desenfundadura en un 100%.,Aumenta del 100% l'affinità per tutti gli attacchi rapidi.,
92,41,10,Punishing Draw,Strafender Hieb,Batto-jutsu,Pena inmediata,Stordattacco,,"Can Stun monsters with draw attacks from cutting weapons, and slightly increases Attack.","Steigert Angriff leicht, kann Monster mit Schnellangriff einer Schneidewaffe betäuben.",Peut étourdir des proies avec des attaques dégainées d'armes tranchantes. Améliore l'attaque.,Los ataques de desenfundadura de las armas de corte pueden aturdir. Aumenta un poco el ataque.,Può stordire con gli attacchi rapidi delle armi da taglio e aumenta leggermente l'attacco.,
93,42,10,Quick Sheath,Schn. Wegstecken,Lame éclair,Vaina rápida,Rinfodero rapido,,Increases weapon-sheathing speed.,Erhöht die Geschwindigkeit für das Wegstecken von Waffen.,Augmente la vitesse de rengainage des armes.,Aumenta la velocidad de desenfundadura de las armas.,Aumenta la velocità con cui rinfoderi le armi.,
94,43,20,Reload Speed +3,NachladeGeschw +3,Rechargement +3,Vel. recarga +3,Ricarica +3,,"Greatly speeds up Bowgun reloading, and auto-loads Bow coatings.",Beschleunigt Nachladen von Bogengewehr stark. Lädt Bogen- beschichtungen automatisch.,Accélère grandement le rechargement du fusarbalète et charge auto. les fioles.,Acelera mucho la recarga de ballesta y carga automáticamente los revestimientos de arco.,Accelera molto la ricarica della balestra e carica automaticamente le boccette.,
95,43,15,Reload Speed +2,NachladeGeschw +2,Rechargement +2,Vel. recarga +2,Ricarica +2,,"Speeds up Bowgun reloading, and auto-loads Bow coatings.",Beschleunigt Nachladen von Bogengewehr. Lädt Bogen- beschichtungen automatisch.,Accélère le rechargement du fusarbalète et charge automatiquement les fioles.,Acelera la recarga de ballesta y carga automáticamente los revestimientos de arco.,Accelera la ricarica della balestra e carica automaticamente le boccette.,
96,43,10,Reload Speed +1,NachladeGeschw +1,Rechargement +1,Vel. recarga +1,Ricarica +1,,"Slightly speeds up Bowgun reloading, and speeds up Bow-coating loading.",Beschleunigt Nachladen von Bogengewehr leicht. Beschleunigt Laden von Bogenbeschichtungen.,Accélère légèrement le rechargement du fusarbalète et le chargement des fioles.,Acelera ligeramente la recarga de la ballesta y la carga de revestimientos de arco.,Accelera di poco la ricarica della balestra e l'utilizzo delle boccette per intingere frecce.,
97,43,-10,Reload Speed -1,NachladeGeschw -1,Rechargement -1,Vel. recarga -1,Ricarica -1,,Slightly slows down Bowgun reloading and Bow-coating loading.,Verlangsamt Nachladen von Bogengewehr und Laden von Bogenbeschichtungen leicht. ,Ralentit légèrement le rechargement du fusarbalète et le chargement des fioles.,Ralentiza ligeramente la recarga de la ballesta y la carga de revestimientos de arco.,Rallenta di poco la ricarica della balestra e l'utilizzo delle boccette per intingere frecce.,
98,43,-15,Reload Speed -2,NachladeGeschw -2,Rechargement -2,Vel. recarga -2,Ricarica -2,,Slows down Bowgun reloading and Bow-coating loading.,Verlangsamt Nachladen von Bogengewehr und Laden von Bogenbeschichtungen.,Ralentit le rechargement du fusarbalète et le chargement des fioles.,Ralentiza la recarga de ballesta y la carga de revestimientos de arco.,Rallenta la ricarica della balestra e l'utilizzo delle boccette per intingere frecce.,
99,43,-20,Reload Speed -3,NachladeGeschw -3,Rechargement -3,Vel. recarga -3,Ricarica -3,,Greatly slows down Bowgun reloading and Bow-coating loading.,Verlangsamt Nachladen von Bogengewehr und Laden von Bogenbeschichtungen stark.,Ralentit beaucoup le rechargement du fusarbalète et le chargement des fioles.,Ralentiza mucho la recarga de la ballesta y la carga de revestimientos de arco.,Rallenta molto la ricarica della balestra e l'utilizzo delle boccette per intingere frecce.,
100,44,20,Recoil Down +3,Rückstoßdämpfer +3,Recul +3,Cadencia +3,Rid. rinculo +3,,Greatly reduces Bowgun recoil.,Verringert den Bogengewehr- Rückstoß stark.,Réduit grandement le recul du fusarbalète.,Aumenta mucho la cadencia de la ballesta.,Riduce molto il rinculo della balestra.,
101,44,15,Recoil Down +2,Rückstoßdämpfer +2,Recul +2,Cadencia +2,Rid. rinculo +2,,Reduces Bowgun recoil.,Verringert den Bogengewehr- Rückstoß.,Réduit le recul du fusarbalète.,Aumenta la cadencia de la ballesta.,Riduce il rinculo della balestra.,
102,44,10,Recoil Down +1,Rückstoßdämpfer +1,Recul +1,Cadencia +1,Rid. rinculo +1,,Slightly reduces Bowgun recoil.,Verringert den Bogengewehr- Rückstoß leicht.,Réduit légèrement le recul du fusarbalète.,Aumenta ligeramente la cadencia de la ballesta.,Riduce leggermente il rinculo della balestra.,
103,44,-10,Recoil Down -1,Rückstoßdämpfer -1,Recul -1,Cadencia -1,Rid. rinculo -1,,Slightly increases Bowgun recoil.,Verstärkt den Bogengewehr- Rückstoß leicht.,Augmente légèrement le recul du fusarbalète.,Reduce ligeramente la cadencia de la ballesta.,Aumenta leggermente il rinculo della balestra.,
104,44,-15,Recoil Down -2,Rückstoßdämpfer -2,Recul -2,Cadencia -2,Rid. rinculo -2,,Increases Bowgun recoil.,Verstärkt den Bogengewehr- Rückstoß.,Augmente le recul du fusarbalète.,Reduce la cadencia de la ballesta.,Aumenta il rinculo della balestra.,
105,44,-20,Recoil Down -3,Rückstoßdämpfer -3,Recul -3,Cadencia -3,Rid. rinculo -3,,Greatly increases Bowgun recoil.,Verstärkt den Bogengewehr- Rückstoß stark.,Augmente grandement le recul du fusarbalète.,Reduce mucho la cadencia de la ballesta.,Aumenta molto il rinculo della balestra.,
106,45,15,Steadiness +2,Zielsicherheit +2,Sniper +2,Precisión +2,Precisione +2,,Greatly decreases Deviation when firing.,Verringert die Abweichung beim Schießen stark.,Réduit grandement la déviation du projectile au moment du tir.,Reduce mucho la desviación al disparar.,Diminuisce molto la deviazione al momento del tiro.,
107,45,10,Steadiness +1,Zielsicherheit +1,Sniper +1,Precisión +1,Precisione +1,,Decreases Deviation when firing.,Verringert die Abweichung beim Schießen.,Réduit la déviation du projectile au moment du tir.,Reduce la desviación al disparar.,Diminuisce la deviazione durante la mira.,
108,45,-10,Steadiness -1,Zielsicherheit -1,Sniper -1,Precisión -1,Precisione -1,,Increases Deviation when firing.,Erhöht die Abweichung beim Schießen.,Augmente la déviation du projectile au moment du tir.,Aumenta la desviación al disparar.,Aumenta la deviazione durante la mira.,
109,45,-15,Steadiness -2,Zielsicherheit -2,Sniper -2,Precisión -2,Precisione -2,,Greatly increases Deviation when firing.,Erhöht die Abweichung beim Schießen stark.,Augmente grandement la déviation du projectile au moment du tir.,Aumenta mucho la desviación al disparar.,Aumenta molto la deviazione durante la mira.,
110,46,10,Normal/Rapid Up,Normal/Schnell+,Normale/Rapide +,Normal/salva+,Normale/Rapido+,,Increases the power of Normal shots (Normal S) and Rapid-type arrows.,Erhöht die Kraft von Normal- Schüssen (Normal S) und schnellen Pfeilen.,Augmente la puissance des munitions normales (Mn Normales) et des flèches rapides.,Aumenta la potencia de disparos normales y flechas en salva.,Aumenta la potenza di proiettili normali (P normali) e frecce rapide.,
111,47,10,Pierce/Pierce Up,Perfr/Perfr +,Perçante/Perç.+,Perforante+,Perforante+,,Increases the power of Pierce shots (Pierce S) and Pierce-type arrows.,Erhöht die Kraft von Perforieren- Schüssen (Perfor S) und Perforieren-Pfeilen.,Augmente la puissance des munitions et des flèches perçantes.,Aumenta la potencia de disparos perforadores y flechas perforantes.,Aumenta la potenza di proiettili perforanti (P perforanti) e frecce perforanti.,
112,48,10,Pellet/Spread Up,Schr/StrPf +,Plomb/Dispers. +,Perdigón/abanico+,Ventaglio+,,Increases the power of Pellet shots (Pellet S) and Spread-type arrows.,Erhöht die Kraft von Schrot- Schüssen (Schrot S) und Streupfeilen.,Augmente la puissance des munitions de plomb et des flèches dispersées.,Aumenta la potencia de disparos de perdigón y de las flechas en abanico.,Aumenta la potenza di proiettili a ventaglio (P ventaglio) e frecce a ventaglio.,
113,49,10,Heavy/Heavy Up,Schw/SchwPf +,Lourd/Lourd +,Peso pesado+,Pesante+,,Increases the power of Heavy shots (Heavy S) and Heavy arrows.,Erhöht die Kraft von Schweren Schüssen (Schwer S) und Schweren Pfeilen.,Augmente la puissance des dum-dum et des flèches lourdes.,Incrementa la potencia de disparos pesados y flechas pesadas.,Aumenta la potenza dei proiettili pesanti (P pesanti) e delle frecce pesanti.,
114,50,10,Use Any Normal S,Alle Normal S,Expert munition,Mun. normal,P normali,,Allows all levels of Normal shots (Normal S) to be loaded.,Ermöglicht das Laden aller Stufen von Normal-Schüssen (Normal S).,Vous pouvez utiliser tous les niveaux de munition normale.,Permite que se carguen todos los niveles de disparos normales.,Permette di caricare proiettili normali (P normali) di tutti i livelli.,
115,51,15,Use Any Pierce S,Alle Perfor S,Expert perçant,Mun. perforadora,P perforanti,,Allows all levels of Pierce shots (Pierce S) to be loaded.,Ermöglicht das Laden aller Stufen von Perforieren- Schüssen (Perfor S).,Vous pouvez utiliser tous les niveaux de balle perçante.,Permite que se carguen todos los niveles de disparos perforadores.,Permette di caricare proiettili perforanti (P perforanti) di tutti i livelli.,
116,51,10,Use Lv1 Pierce S,Perfor S St1,Perçant NV1,Mun. perfor. Nv1,P perforanti lv1,,Allows Lv1 Pierce shots (Pierce S) to be loaded.,Ermöglicht das Laden von Perfor.- Schüssen (Perfor S) der Stufe 1.,Vous pouvez utiliser les balles perçantes.,Permite que se carguen los disparos perforadores Nv1.,Permette di caricare proiettili perforanti (P perforanti) di lv1.,
117,52,15,Use Any Pellet S,Alle Schrot S,Expert grenaille,Mun. perdigón,P ventaglio,,Allows all levels of Pellet shots (Pellet S) to be loaded.,Ermöglicht das Laden aller Stufen von Schrot-Schüssen (Schrot S).,Vous pouvez utiliser tous les niveaux de grenaille.,Permite que se carguen todos los niveles de disparos de perdigón.,Permette di caricare proiettili a ventaglio (P ventaglio) di tutti i livelli.,
118,52,10,Use Lv1 Pellet S,Schrot S St1,Grenaille NV1,Mun. perdigón Nv1,P ventaglio lv1,,Allows Lv1 Pellet shots (Pellet S) to be loaded.,Ermöglicht das Laden von Schrot- Schüssen (Schrot S) der Stufe 1.,Vous pouvez utiliser la grenaille.,Permite que se carguen los disparos de perdigón Nv1.,Permette di caricare proiettili a ventaglio (P ventaglio) di lv1.,
119,53,15,Use Any Crag S,Alle Explosiv S,Expert antiblind.,Mun. explosiva,P esplosivi,,Allows all levels of Crag shots (Crag S) to be loaded.,Ermöglicht das Laden aller Stufen von Explosiv-Schüssen (Explosiv S).,Vous pouvez utiliser tous les niveaux d'antiblindage.,Permite que se carguen todos los niveles de disparos explosivos.,Permette di caricare proiettili esplosivi (P esplosivi) di tutti i livelli.,
120,53,10,Use Lv1 Crag S,Explosiv S St1,Antiblindage NV1,Mun. explosiva Nv1,P esplosivi lv1,,Allows Lv1 Crag shots (Crag S) to be loaded.,Ermöglicht das Laden von Explosiv- Schüssen (Explosiv S) der Stufe 1.,Vous pouvez utiliser des munitions antiblindage.,Permite que se carguen los disparos explosivos Nv1.,Permette di caricare proiettili esplosivi (P esplosivi) di lv1.,
121,54,15,Use Any Clust S,Alle Streu S,Expert frag,Mun. de grupo,P grappolo,,Allows all levels of Cluster shots (Clust S) to be loaded.,Ermöglicht das Laden aller Stufen von Streu-Schüssen (Streu S).,Vous pouvez utiliser tous les niveaux de fragmentation.,Permite que se carguen todos los niveles de disparos de grupo.,Permette di caricare proiettili a grappolo (P grappolo) di tutti i livelli.,
122,54,10,Use Lv1 Clust S,Streu S St1,Frag NV 1,Mun. de grupo Nv1,P grappolo lv1,,Allows Lv1 Cluster shots (Clust S) to be loaded.,Ermöglicht das Laden von Streu- Schüssen (Streu S) der Stufe 1.,Vous pouvez utiliser les munitions à fragmentation.,Permite que se carguen los disparos de grupo Nv1.,Permette di caricare proiettili a grappolo (P grappolo) di lv1.,
123,55,10,Use Poison Coat,Giftbeschichtung,Fiole poison +,Rev. veneno,B veleno,,Allows Poison coatings to be set when equipped with a Bow.,"Ermöglicht Giftbeschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de poison avec l'arc.,Permite usar revestimientos de veneno cuando llevas un arco.,Permette di usare la boccetta veleno per intingere le frecce quando si usa un arco.,
124,56,10,Use Para Coat,Lähmbeschichtung,Fiole paralysie +,Rev. paraliz.,B paralisi,,Allows Paralysis coatings to be set when equipped with a Bow.,"Ermöglicht Lähmbeschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de paralysie avec l'arc.,Permite usar revestimientos paralizantes cuando llevas un arco.,Permette di usare la boccetta paralisi per intingere le frecce quando si usa un arco.,
125,57,10,Use Sleep Coat,Schlafbeschicht.,Fiole sommeil +,Rev. sueño,B sonno,,Allows Sleep coatings to be set when equipped with a Bow.,"Ermöglicht Schlafbeschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de sommeil avec l'arc.,Permite usar revestimientos de sueño cuando llevas un arco.,Permette di usare la boccetta sonno per intingere le frecce quando si usa un arco.,
126,58,15,Power Phial (All),Kraft-Phiole A,Fiole force NV2,Rev. poten. (todos),B potenza (tutti),,Allows Power coatings of all levels to be set when wielding a Bow.,"Ermöglicht Kraftbeschich- tungen aller Stufen, wenn ein Bogen ausgerüstet ist.",Vous pouvez utiliser les fioles de force de tout niveau avec l'arc.,Permite aplicar revestimientos de potencia de todos los niveles al usar un arco.,Permette di usare boccette potenza di ogni livello per intingere le frecce quando si usa un arco.,
127,58,10,Power Phial (Lv1),Kraft-Phiole St1,Fiole force NV1,Rev. poten. Nv1,B potenza (lv1),,Allows Lv1 Power coatings to be set when wielding a Bow.,"Ermöglicht Kraftbeschich- tungen der Stufe 1, wenn ein Bogen ausgerüstet ist.",Vous pouvez utiliser les fioles de force de niveau 1 avec l'arc.,Permite aplicar revestimientos de potencia de Nv1 al usar un arco.,Permette di usare boccette potenza di livello 1 per intingere le frecce quando si usa un arco.,
128,59,15,Element Phial (All),Element-Phiole A,Fiole élém NV2,Rev. elem. (todos),B element. (tutti),,Allows Elemental coatings of all levels to be set when wielding a Bow.,"Ermöglicht Elementbeschich- tungen aller Stufen, wenn ein Bogen ausgerüstet ist.",Vous pouvez utiliser les fioles élémentaires de tout niveau avec l'arc.,Permite aplicar revestimientos elementales de todos los niveles al usar un arco.,Permette di usare boccette elemen. di ogni livello per intingere le frecce quando si usa un arco.,
129,59,10,Element Phial (Lv1),Elmnt-Phiole St1,Fiole élém NV1,Rev. elemental Nv1,B element. (lv1),,Allows Elem Coating Lv1 to be set when wielding a Bow.,"Ermöglicht den Einsatz von Elem-Phiole St1, wenn du einen Bogen führst.",Vous pouvez utiliser les fioles élémentaires avec l'arc.,Permite aplicar rev. elementales de nivel 1 al utilizar un arco.,Permette di usare boccette elemen. di livello 1 per intingere le frecce quando si usa un arco.,
130,60,10,Use C.Range Coat,Nahkampfbesch.,Fiole combat +,Rev. alcance,B cortoraggio,,Allows Close-range coatings to be set when equipped with a Bow.,"Ermöglicht Nahkampf- beschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de combat avec l'arc.,Permite usar revestimientos de alcance cuando llevas un arco.,Permette di usare la boccetta cortor. per intingere le frecce quando si usa un arco.,
131,61,10,Use Exhaust Coat,Ermüdbeschichtg.,Fiole faiblesse +,Rev. fatiga,B fatica,,Allows Exhaust coatings to be set when equipped with a Bow.,"Ermöglicht Ermüdungs- beschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles de faiblesse avec l'arc.,Permite usar revestimientos de fatiga cuando llevas un arco.,Permette di usare la boccetta fatica per intingere le frecce quando si usa un arco.,
132,62,10,Use Blast Coat,Sprengbeschicht.,Fiole explosive +,Rev. nitro,B scoppio,,Allows Blast coatings to be set when equipped with a Bow.,"Ermöglicht Spreng- beschichtungen, wenn ein Bogen ausgerüstet wurde.",Vous pouvez utiliser les fioles explosives avec l'arc.,Permite usar revestimientos de nitro cuando llevas un arco.,Permette di usare la boccetta scoppio per intingere le frecce quando si usa un arco.,
133,63,10,Bonus Shot,Bonus-Schuss,Franc-tireur,Disparo bonus,Colpo extra,,Allows one extra shot to be fired while Rapid Firing.,Erlaubt einen zusätzlichen Schuss bei Schnellfeuer.,Donne 1 tir supplémentaire lorsque vous tirez en rafale.,Permite disparar un tiro más con el disparo rápido.,Garantisce un colpo aggiuntivo durante il fuoco rapido.,
134,64,10,Shot Booster,Schuss-Booster,Maîtrise de soi,Potenciad. disparo,Aumenta colpi,,Prolongs the time window certain ammo and arrows can hit at maximum power.,"Verlängert das Zeitfenster, in dem bestimmte Munition und Pfeile mit max. Kraft treffen.",Prolonge la durée pendant laquelle certaines munitions et flèches peuvent infliger le maximum de dégâts.,Alarga el tiempo durante el cual cierta munición y flechas impactan a plena potencia.,Prolunga l'arco temporale in cui certi colpi e frecce infliggono danni massimi.,
135,65,10,Load Up,Kapazität +,Munitions +,Carga+,Cartucciera+,,"Increases Bowgun and Gunlance ammo, Bow charge levels, and Charge Blade energy.","Steigert Bogengewehr-u. Gewehr- lanzen-Muni., Bogen-Ladestufen u. Energie für Energieklingen.","Augmente les munitions (lancecanon, fusarb.), charge (arc), et énergie (volto-hache).","Aumenta munición de ballesta y lanza pistola, niveles de carga de arco y energía de hacha cargada.","Più colpi per lancia-fucile e balestra, più carica per arco ed energia per spad-ascia car.",
136,66,10,TrueShot Up,Wahrschuss +,Pluie de fer,Disparo certero +1,Colpi+,,"Increases the power of Bowgun Internal Ammo, and the Bow's Arc Shot and Power Shot.",Erhöht Kraft d. Internen Munition (Bogengewehr) sowie von Bogen- schuss und Kraftschuss (Bogen).,Renforce les munitions internes (fusarbalète) et les tirs de barrage/guerre (arc).,"Mejora la potencia de la munición interna de ballesta, y el tiro en arco y disparo potente del arco.","Aumenta la potenza di P interni della balestra, tiri arco e tiri potenti dell'arco.",
137,67,10,Ammo Saver,Munitions-Sparer,Éco-munition,Ahorramunic.,Risparmio,,Occasionally returns ammo or phials to inventory when firing.,Gibt bei Schuss gelegentlich Munition oder Phiolen ins Inventar zurück.,Renvoie occasionnellement vers l'inventaire les munitions ou les fioles tirées.,A veces la munición o revestim. vuelven al inventario al disparar.,Sporadicamente ripristina le munizioni o le boccette dopo aver sparato un colpo.,
138,68,20,Critical Eye +3,Krit. Auge +3,Œil critique +3,Ojo crítico +3,Affinità +3,,Increases Affinity by 30%.,Erhöht Affinität um 30 %.,Augmente l'affinité de 30 %.,Aumenta la afinidad en un 30%.,Aumenta l'affinità del 30%.,
139,68,15,Critical Eye +2,Krit. Auge +2,Œil critique +2,Ojo crítico +2,Affinità +2,,Increases Affinity by 20%.,Erhöht Affinität um 20 %.,Augmente l'affinité de 20 %.,Aumenta la afinidad en un 20%.,Aumenta l'affinità del 20%.,
140,68,10,Critical Eye +1,Krit. Auge +1,Œil critique +1,Ojo crítico +1,Affinità +1,,Increases Affinity by 10%.,Erhöht Affinität um 10 %.,Augmente l'affinité de 10 %.,Aumenta la afinidad en un 10%.,Aumenta l'affinità del 10%.,
141,68,-10,Critical Eye -1,Krit. Auge -1,Œil critique -1,Ojo crítico -1,Affinità -1,,Decreases Affinity by 5%.,Verringert Affinität um 5 %.,Réduit l'affinité de 5 %.,Reduce la afinidad en un 5%.,Riduce l'affinità del 5%.,
142,68,-15,Critical Eye -2,Krit. Auge -2,Œil critique -2,Ojo crítico -2,Affinità -2,,Decreases Affinity by 10%.,Verringert Affinität um 10 %.,Réduit l'affinité de 10 %.,Reduce la afinidad en un 10%.,Riduce l'affinità del 10%.,
143,68,-20,Critical Eye -3,Krit. Auge -3,Œil critique -3,Ojo crítico -3,Affinità -3,,Decreases Affinity by 15%.,Verringert Affinität um 15 %.,Réduit l'affinité de 15 %.,Reduce la afinidad en un 15%.,Riduce l'affinità del 15%.,
144,69,10,Weakness Exploit,Schwächeausnutzg,Point faible,Maza,Punto debole,,Increases Affinity when striking body parts your attacks are highly effective against.,"Erhöht Affinität für Schläge gegen Körperteile, gegen die Angriffe bes. effektiv sind.",Augmente l'affinité pour les attaques portées aux parties du corps où elles sont efficaces.,Aumenta la afinidad si golpeas partes del cuerpo contra las que tus ataques son muy eficaces.,Aumenta l'affinità colpendo le zone del corpo contro cui i tuoi attacchi sono efficaci.,
145,70,10,Repeat Offender,Wiederholungstäter,Orage de lames,Atacante constante,Recidivo,,Increases Affinity following repeated attacks.,Erhöht Affinität nach wiederholten Angriffen.,Augmente l'affinité après des attaques répétées.,Aumenta la afinidad después de repetidos ataques.,Aumenta l'affinità sferrando attacchi a ripetizione.,
146,71,10,Status Crit,Krit. Statusschaden,Attaque perfide,Crít. estado,Critico stat.,,"Increases abnormal status attack potency (Paralysis, Poison, Sleep) of your critical hits.","Steigert Stärke anormaler An- griffe (Lähmung, Gift, Schlaf) bei kritischen Treffern.","Augmente la puissance des afflictions (paralysie, poison, sommeil) des coups critiques.","Aumenta la potencia de estados alterados (parálisis, veneno, sueño) en tus golpes críticos.","Potenzia gli status alterati (paralisi, veleno, sonno) indotti dai colpi critici.",
147,72,10,Elemental Crit,Krit. Elemntschadn,Rage élémentaire,Crít. elemental,Critico elem.,,"Increases elemental damage (Fire, Water, Thunder, Ice, Dragon) of your critical hits.","Steigert den Elementschaden (Feuer, Wasser, Donner, Eis, Drache) bei krit. Treffern.","Augmente les dégâts élémentaires (feu, eau, foudre, glace, dragon) des coups critiques.","Aumenta el daño elemental (fuego, agua, rayo, hielo, draco) de tus golpes críticos.","Aumenta i danni elementali (fuoco, acqua, tuono, gelo, drago) dei colpi critici.",
148,73,10,Critical Boost,Kritischer Boost,Bonus critique,Potenciador crítico,Aumenta critico,,Increases the damage of critical hits.,Steigert Schaden kritischer Treffer.,Augmente les dégâts des coups critiques.,Aumenta el daño de golpes críticos.,Aumenta i danni inflitti dai colpi critici.,
149,74,10,Focus,Fokus,Focus,Foco,Carica rapida,,"Speeds L.Sword/C.Blade/S.Axe/ D.Blades gauges, and G.Sword/ Hammer/Bow charge attacks.",Beschl. L-schwert/E-klinge/M- Axt/D-klinge-Balken und Bogen/ G-schwert/Hammer-Ladeangr.,"Accélère la jauge (épée longue, v-hache, m-hache, lames dbl) ou la charge (arc, gde épée, mart.).","Acelera indic. de esp. L/hacha C/ hacha S/espadas D, y los ataques carga de gr. espada/martillo/arco.",Accelera barra spada lunga/s-a./ s-a. car./doppie lame e attacchi caricati spadone/martello/arco.,
150,74,-10,Distraction,Ablenkung,Distraction,Distracción,Carica lenta,,"Slows L.Sword/D.Blades/S.Axe/ C.Blade gauges, and G.Sword/ Hammer/Bow charge attacks.",Verlang. L-schwert/E-klinge/M- Axt/D-klinge-Balken und Bogen/ G-schwert/Hammer-Ladeangr.,"Ralentit la jauge (épée longue, v-hache, m-hache, lames dbl) ou la charge (arc, gde épée, mart.).","Ralentiza indicadores de esp. L/ esp. D/hacha S/hacha C, y ataques carga de gr. espada/martillo/arco.",Rallenta barra spada lunga/s-a./ s-a. car./doppie lame e attacchi caricati spadone/martello/arco.,
151,75,10,Marathon Runner,Läufer,Marathonien,Corredor +1,Resistenza+,,Slows down Stamina depletion for actions which continuously drain Stamina (such as dashing).,"Verlangsamt Ausdauerverlust bei Aktionen, die ständig Aus- dauer entziehen (z. B. Sprints).",La stamina diminue moins vite durant les actions utilisant progressivement de la stamina.,Ralentiza el uso de resistencia de acciones que requieren un consumo continuo (como correr).,Rallenta il consumo di resistenza per azioni prolungate (come lo scatto).,
152,75,-10,Short Sprinter,Sprinter,Sprinter,Corredor -1,Resistenza-,,Speeds up Stamina depletion for actions which continuously drain Stamina (such as dashing).,"Beschleunigt Ausdauerverlust bei Aktionen, die ständig Aus- dauer entziehen (z. B. Sprints).",La stamina diminue plus vite durant les actions utilisant progressivement de la stamina.,Acelera el uso de resistencia de acciones que requieren un consumo continuo (como correr).,Accelera il consumo di resistenza per azioni prolungate (come lo scatto).,
153,76,15,Constitution +2,Konstitution +2,Athlète +2,Constitución +2,Atleta +2,,"Greatly slows down Stamina depletion when evading, blocking, etc.","Verringert den Ausdauerverlust beim Ausweichen, Blocken usw. stark.","La stamina diminue beaucoup moins en cas d'évasion, de blocage, etc.","Ralentiza mucho el gasto de resistencia al esquivar, bloquear, etc.","Riduce molto il consumo di resistenza quando si schiva, blocca, ecc.",
154,76,10,Constitution +1,Konstitution +1,Athlète +1,Constitución +1,Atleta +1,,"Slows down Stamina depletion when evading, blocking, etc.","Verringert den Ausdauerverlust beim Ausweichen, Blocken usw.","La stamina diminue moins en cas d'évasion, de blocage, etc.","Ralentiza el gasto de resistencia al esquivar, bloquear, etc.","Riduce il consumo di resistenza quando si schiva, blocca, ecc.",
155,76,-10,Constitution -1,Konstitution -1,Athlète -1,Constitución -1,Atleta -1,,"Speeds up Stamina depletion when evading, blocking, etc.","Beschleunigt Ausdauerverlust beim Ausweichen, Blocken usw.","La stamina diminue plus vite en cas d'évasion, de blocage, etc.","Acelera el gasto de resistencia al esquivar, bloquear, etc.","Aumenta il consumo di resistenza quando si schiva, blocca, ecc.",
156,76,-15,Constitution -2,Konstitution -2,Athlète -2,Constitución -2,Atleta -2,,"Greatly speeds up Stamina depletion when evading, blocking, etc.","Beschleunigt Ausdauerverlust beim Ausweichen, Blocken usw. stark.","La stamina diminue beaucoup plus vite en cas d'évasion, de blocage, etc.","Acelera mucho el gasto de resistencia al esquivar, bloquear, etc.","Aumenta molto il consumo di resistenza quando si schiva, blocca, ecc.",
157,77,10,Stam Recov Up,Ausdauererhlg. +,Vigueur +,Estado forma +1,Recupero res+,,Increases Stamina recovery speed.,"Erhöht die Geschwindigkeit, mit der sich deine Ausdauer erholt.",Augmente la vitesse de récupération de la stamina.,Aumenta la velocidad de recuperación de resistencia.,Aumenta la velocità di recupero della resistenza.,
158,77,-10,Stam Recov Down,Ausdauererhlg. -,Vigueur -,Estado forma -1,Recupero res-,,Decreases Stamina recovery speed.,"Verringert die Geschwindigkeit, mit der sich deine Ausdauer erholt.",Diminue la vitesse de récupération de la stamina.,Reduce la velocidad de recuperación de resistencia.,Riduce la velocità di recupero della resistenza.,
159,78,15,Evasion +2,Ausweichen +2,Évasion +2,Evasión +2,Schivata +2,,Extends the invulnerability period when evading.,Verlängert die Unverwundbarkeitsdauer beim Ausweichen.,Prolonge la durée d'invincibilité en cas d'évasion.,Extiende el periodo de invulnerabilidad al esquivar.,Prolunga il periodo di invulnerabilità di una schivata.,
